Unnamed: 0,CampaignURL,word,sentiment2,positive,negative
1,https://sportfunder.com/tjslaviatuzvolen/28678,top,positive,7.0,2.0
10,https://sportfunder.com/danielvassalladams/25809,top,positive,9.0,4.0
23,https://sportfunder.com/seanamini/29524,player,negative,16.0,4.0
43,https://sportfunder.com/sambofederationofarmenia/28323,top,positive,8.0,2.0
53,https://sportfunder.com/bobthompson/12274,level,positive,24.0,10.0
87,https://sportfunder.com/jovontesuber/31804,passion,positive,6.0,0.0
93,https://sportfunder.com/usadeafwrestlingorganization/23697,medal,positive,8.0,0.0
101,https://sportfunder.com/usadeafwrestlingorganization/25617,focus,positive,6.0,0.0
107,https://sportfunder.com/acadiauniversitycheerleading/2393,leukemia,negative,5.0,2.0
114,https://sportfunder.com/acadiauniversitycheerleading/8246,meltdown,negative,3.0,1.0
118,https://sportfunder.com/acadiaaxetremecheerleading/23677,cheer,positive,7.0,0.0
125,https://sportfunder.com/winnipeggeneralstrike/2193,decent,positive,22.0,11.0
158,https://sportfunder.com/teamgunnlaugson/25493,curl,positive,20.0,2.0
180,https://sportfunder.com/integritycheereliteiceallstars/15641,star,positive,8.0,2.0
190,https://sportfunder.com/paradiseracing/4434,journey,positive,11.0,2.0
203,https://sportfunder.com/morgyncook/40367,passion,positive,9.0,2.0
214,https://sportfunder.com/dawsonblues/13541,succeed,positive,10.0,1.0
225,https://sportfunder.com/academicartshighschool/31146,art,positive,10.0,0.0
235,https://sportfunder.com/robmcdougall/27770,passion,positive,60.0,10.0
305,https://sportfunder.com/anthonypietersz/29528,wicket,positive,14.0,2.0
321,https://sportfunder.com/wellingtonwolvesflagfootballteam/31183,grow,positive,7.0,1.0
329,https://sportfunder.com/donaldbrown/31536,passion,positive,6.0,1.0
336,https://sportfunder.com/wallaseywolves/29346,contact,positive,2.0,0.0
338,https://sportfunder.com/keyarawardley/8762,august,positive,9.0,3.0
350,https://sportfunder.com/ironrangestrikersfc/31161,iron,positive,16.0,4.0
370,https://sportfunder.com/uvicsynchro/889,swim,positive,15.0,2.0
387,https://sportfunder.com/teamvicaustralianfootball/27492,main,positive,9.0,1.0
397,https://sportfunder.com/lindsayandpatricia/17273,august,positive,18.0,4.0
419,https://sportfunder.com/teamvicrugby/27490,top,positive,10.0,3.0
432,https://sportfunder.com/teamvicvolleyball/27491,top,positive,10.0,3.0
445,https://sportfunder.com/joeyniezen/937,swim,positive,15.0,2.0
462,https://sportfunder.com/daveford/26608,dear,positive,11.0,1.0
474,https://sportfunder.com/kayakteam-canottieriquerinivenezia/29817,youth,positive,13.0,4.0
491,https://sportfunder.com/fdx/29162,hope,positive,3.0,0.0
494,https://sportfunder.com/sergiyter/28004,swim,positive,20.0,1.0
515,https://sportfunder.com/sedibengu15/29566,teach,positive,6.0,2.0
523,https://sportfunder.com/ubcsynchro/957,swim,positive,23.0,2.0
548,https://sportfunder.com/ubcsynchro/15229,gold,positive,13.0,0.0
561,https://sportfunder.com/christinewonggolf/29414,journey,positive,7.0,3.0
571,https://sportfunder.com/uofamininggames/30996,lost,negative,3.0,2.0
576,https://sportfunder.com/uofamininggames/40216,top,positive,9.0,6.0
591,https://sportfunder.com/vikasshukla/28337,lover,positive,2.0,2.0
595,https://sportfunder.com/stevenpritchard/31217,passion,positive,8.0,0.0
603,https://sportfunder.com/sebastiaanroell/30890,die,negative,4.0,3.0
610,https://sportfunder.com/urbanahighschoolcheerleading/29854,top,positive,7.0,2.0
619,https://sportfunder.com/howelluniteddiamonds/28125,diamond,positive,13.0,3.0
635,https://sportfunder.com/nlapro/31921,profession,positive,50.0,18.0
703,https://sportfunder.com/dangerzonewrestling/23696,main,positive,9.0,1.0
713,https://sportfunder.com/teambrokenworld/25269,broken,negative,16.0,7.0
736,https://sportfunder.com/lehighvalleyhunters/29919,hunter,negative,4.0,1.0
741,https://sportfunder.com/amakirikelvin/30828,passion,positive,4.0,0.0
745,https://sportfunder.com/jamesogle-16thwkc/3169,level,positive,3.0,0.0
748,https://sportfunder.com/seanstarr/21215,captain,positive,11.0,2.0
761,https://sportfunder.com/lucywarne/28012,warn,negative,17.0,2.0
780,https://sportfunder.com/go-2-pro/28136,passion,positive,19.0,14.0
813,https://sportfunder.com/princetonakpojaro/30654,passion,positive,50.0,4.0
867,https://sportfunder.com/greatpotentialltd/29412,top,positive,9.0,3.0
