Unnamed: 0,CampaignURL,word,sentiment3,trust,fear
1,https://sportfunder.com/tjslaviatuzvolen/28678,top,trust,8.0,0.0
9,https://sportfunder.com/danielvassalladams/25809,coach,trust,10.0,1.0
20,https://sportfunder.com/seanamini/29524,nation,trust,23.0,2.0
45,https://sportfunder.com/sambofederationofarmenia/28323,top,trust,9.0,1.0
55,https://sportfunder.com/bobthompson/12274,level,trust,20.0,1.0
76,https://sportfunder.com/jovontesuber/31804,passion,trust,4.0,0.0
80,https://sportfunder.com/usadeafwrestlingorganization/23697,medal,trust,6.0,1.0
87,https://sportfunder.com/usadeafwrestlingorganization/25617,safe,trust,4.0,0.0
91,https://sportfunder.com/acadiauniversitycheerleading/2393,team,trust,8.0,1.0
100,https://sportfunder.com/acadiauniversitycheerleading/8246,team,trust,8.0,0.0
108,https://sportfunder.com/acadiaaxetremecheerleading/23677,cheer,trust,6.0,0.0
114,https://sportfunder.com/winnipeggeneralstrike/2193,explain,trust,9.0,3.0
126,https://sportfunder.com/teamgunnlaugson/25493,team,trust,19.0,2.0
147,https://sportfunder.com/integritycheereliteiceallstars/15641,star,trust,9.0,3.0
159,https://sportfunder.com/paradiseracing/4434,team,trust,16.0,2.0
177,https://sportfunder.com/morgyncook/40367,passion,trust,3.0,0.0
180,https://sportfunder.com/dawsonblues/13541,team,trust,21.0,0.0
201,https://sportfunder.com/academicartshighschool/31146,school,trust,11.0,0.0
212,https://sportfunder.com/robmcdougall/27770,passion,trust,40.0,4.0
256,https://sportfunder.com/anthonypietersz/29528,team,trust,7.0,4.0
267,https://sportfunder.com/wellingtonwolvesflagfootballteam/31183,grow,trust,7.0,0.0
274,https://sportfunder.com/donaldbrown/31536,passion,trust,4.0,0.0
278,https://sportfunder.com/wallaseywolves/29346,team,trust,5.0,0.0
283,https://sportfunder.com/keyarawardley/8762,nation,trust,11.0,0.0
294,https://sportfunder.com/ironrangestrikersfc/31161,iron,trust,11.0,4.0
309,https://sportfunder.com/uvicsynchro/889,swim,fear,16.0,2.0
